image_name,face_rect_x1,face_rect_y2,face_rect_x2,face_rect_y1,landmarks_in_bbox,n_faces_detected,dataset_type,train_type,n_landmarks
100843687_1.jpg,170.0,634.0,491.0,313.0,56.0,1,300W,test,68
1010057391_1.jpg,204.0,675.0,589.0,290.0,57.0,1,300W,test,68
1021890651_1.jpg,613.0,1125.0,1763.0,-153.0,58.0,1,300W,test,68
1033312288_1.jpg,724.0,1316.0,1389.0,650.0,56.0,1,300W,test,68
105538305_1.jpg,245.0,657.0,707.0,194.0,60.0,1,300W,test,68
106326063_1.jpg,576.0,1242.0,1241.0,576.0,60.0,1,300W,test,68
106393487_1.jpg,1043.0,1810.0,2423.0,430.0,63.0,1,300W,test,68
1063957157_1.jpg,171.0,542.0,726.0,-75.0,64.0,1,300W,test,68
107635070_1.jpg,27.0,455.0,348.0,134.0,53.0,1,300W,test,68
111076519_1.jpg,1113.0,872.0,1268.0,718.0,64.0,2,300W,test,68
111714273_1.jpg,-75.0,603.0,541.0,49.0,58.0,1,300W,test,68
1144216773_1.jpg,479.0,911.0,1034.0,357.0,68.0,1,300W,test,68
115774957_1.jpg,98.0,491.0,419.0,170.0,56.0,1,300W,test,68
1160859039_1.jpg,247.0,761.0,632.0,376.0,66.0,1,300W,test,68
1218567979_2.jpg,332.0,675.0,718.0,290.0,67.0,2,300W,test,68
1223190031_1.jpg,332.0,547.0,718.0,162.0,58.0,1,300W,test,68
124399360_1.jpg,375.0,804.0,760.0,418.0,60.0,1,300W,test,68
126229661_1.jpg,650.0,1094.0,1315.0,428.0,60.0,1,300W,test,68
127627778_1.jpg,82.0,468.0,349.0,201.0,61.0,1,300W,test,68
129408727_1.jpg,418.0,718.0,803.0,333.0,60.0,1,300W,test,68
1328530642_1.jpg,617.0,1895.0,1575.0,937.0,63.0,1,300W,test,68
133275383_1.jpg,617.0,1256.0,1575.0,298.0,60.0,1,300W,test,68
1405372343_1.jpg,399.0,708.0,861.0,246.0,67.0,1,300W,test,68
141794264_1.jpg,504.0,718.0,889.0,333.0,55.0,1,300W,test,68
1422581646_1.jpg,576.0,1316.0,1241.0,650.0,64.0,1,300W,test,68
1425648903_1.jpg,419.0,705.0,740.0,384.0,53.0,2,300W,test,68
1437632861_1.jpg,502.0,1168.0,1167.0,502.0,62.0,1,300W,test,68
1440499238_1.jpg,603.0,1313.0,1401.0,514.0,68.0,1,300W,test,68
1440954129_1.jpg,161.0,675.0,546.0,290.0,61.0,1,300W,test,68
146978430_2.jpg,349.0,587.0,617.0,320.0,52.0,2,300W,test,68
150766294_1.jpg,514.0,1136.0,1313.0,337.0,59.0,1,300W,test,68
1515641689_2.jpg,277.0,634.0,598.0,313.0,62.0,2,300W,test,68
1537303575_1.jpg,230.0,528.0,498.0,260.0,59.0,1,300W,test,68
1557684070_1.jpg,664.0,1220.0,1219.0,665.0,57.0,1,300W,test,68
1602308_1.jpg,563.0,440.0,786.0,217.0,59.0,1,300W,test,68
16413031_1.jpg,221.0,304.0,407.0,118.0,61.0,1,300W,test,68
1710672384_1.jpg,297.0,708.0,759.0,246.0,64.0,1,300W,test,68
171907511_1.jpg,205.0,562.0,526.0,241.0,54.0,2,300W,test,68
172375929_1.jpg,332.0,590.0,718.0,204.0,67.0,1,300W,test,68
1757432712_1.jpg,277.0,634.0,598.0,313.0,66.0,1,300W,test,68
1793202210_1.jpg,200.0,379.0,468.0,112.0,64.0,1,300W,test,68
1801024299_1.jpg,399.0,811.0,861.0,348.0,59.0,2,300W,test,68
18489332_5.jpg,557.0,175.0,665.0,68.0,57.0,9,300W,test,68
1895136013_1.jpg,510.0,1682.0,1469.0,724.0,64.0,1,300W,test,68
19618587_1.jpg,200.0,558.0,468.0,290.0,58.0,1,300W,test,68
198386414_1.jpg,404.0,1043.0,1362.0,85.0,63.0,1,300W,test,68
200506188_1.jpg,205.0,669.0,526.0,348.0,60.0,1,300W,test,68
2005566839_1.jpg,375.0,761.0,760.0,376.0,67.0,1,300W,test,68
200748267_1.jpg,664.0,1035.0,1219.0,480.0,54.0,1,300W,test,68
2030653815_1.jpg,687.0,687.0,910.0,464.0,63.0,1,300W,test,68
203328057_1.jpg,70.0,1047.0,869.0,248.0,63.0,1,300W,test,68
2042747277_1.jpg,241.0,562.0,562.0,241.0,60.0,1,300W,test,68
2070634156_1.jpg,247.0,547.0,632.0,162.0,56.0,1,300W,test,68
2081258704_1.jpg,418.0,761.0,803.0,376.0,59.0,1,300W,test,68
2097991401_2.jpg,245.0,862.0,707.0,400.0,64.0,1,300W,test,68
2108298351_1.jpg,312.0,598.0,633.0,277.0,64.0,1,300W,test,68
211373432_1.jpg,247.0,675.0,632.0,290.0,64.0,1,300W,test,68
2115342511_1.jpg,142.0,502.0,605.0,40.0,57.0,1,300W,test,68
212515672_1.jpg,354.0,724.0,1019.0,59.0,60.0,1,300W,test,68
2134243149_2.jpg,277.0,598.0,598.0,277.0,63.0,2,300W,test,68
2134262703_1.jpg,312.0,598.0,633.0,277.0,63.0,2,300W,test,68
213442073_1.jpg,399.0,605.0,861.0,143.0,67.0,1,300W,test,68
213654866_1.jpg,1422.0,735.0,1577.0,580.0,68.0,2,300W,test,68
214426541_2.jpg,354.0,1168.0,1019.0,502.0,60.0,2,300W,test,68
2152239275_1.jpg,248.0,1402.0,1046.0,603.0,62.0,1,300W,test,68
2164052578_1.jpg,485.0,1508.0,1635.0,358.0,59.0,1,300W,test,68
2165005475_1.jpg,132.0,946.0,798.0,280.0,59.0,1,300W,test,68
2180195389_1.jpg,312.0,598.0,633.0,277.0,59.0,1,300W,test,68
2185205964_2.jpg,650.0,1020.0,1315.0,354.0,58.0,1,300W,test,68
2198286445_1.jpg,724.0,872.0,1389.0,206.0,58.0,1,300W,test,68
2200344234_1.jpg,510.0,1682.0,1469.0,724.0,68.0,1,300W,test,68
2202089258_1.jpg,27.0,420.0,348.0,99.0,61.0,2,300W,test,68
2203693721_2.jpg,780.0,1491.0,1579.0,692.0,63.0,1,300W,test,68
